iteration,average of f(x),Average derrivative of f(x),2nd derrivative of average of f(x),std of average f(x),average vec. change,loop time
1.000000000000000000e+00,6.648382511872240386e+00,6.648062255340074500e-02,0.000000000000000000e+00,4.979870262261058833e-02,6.405552192370887570e-03,1.227211952209472656e-01
2.000000000000000000e+00,6.413304486252865644e+00,4.968567707331760647e-02,1.679494548008313853e-02,2.987032466056726426e-02,6.003432307434057764e-03,1.467111110687255859e-01
3.000000000000000000e+00,6.201892611451286008e+00,2.827975217059615007e-02,2.140592490272145640e-02,9.564309963453591218e-03,5.392951651724145132e-03,1.022777557373046875e-01
4.000000000000000000e+00,6.036222662705105435e+00,7.585374230309702495e-03,2.069437794028644584e-02,7.143639686437984818e-03,5.238551430038921285e-03,9.739518165588378906e-02
5.000000000000000000e+00,5.965032347311487015e+00,8.638968373736883796e-03,-1.053594143427181301e-03,7.600131523241357781e-03,5.395308623815555336e-03,9.826588630676269531e-02
